quartier,superficie,nombre_chambres,douche_wc,type_d_acces,meublé,état_général,loyer_mensuel
ambatobe,125.0,4,interieur,sans,True,moyen,7252000.0
ivandry,125.0,4,exterieur,voiture_avec_parking,False,moyen,7252000.0
ivandry,1000.0,5,exterieur,voiture_avec_parking,False,moyen,12950000.0
ivandry,125.0,4,interieur,voiture_avec_parking,True,moyen,6216000.0
ambatobe,90.0,3,interieur,sans,True,moyen,4662000.0
ivandry,90.0,3,interieur,voiture_avec_parking,True,moyen,6216000.0
tsiadana,220.0,5,exterieur,voiture_avec_parking,False,moyen,5180000.0
tsiadana,250.0,5,interieur,voiture_avec_parking,False,moyen,6216000.0
andranomahery ankorondrano,10500.0,1,interieur,sans,False,moyen,16161600.0
ivandry,2635.0,1,interieur,sans,False,moyen,49987000.0
soanierana iii i,2803.0,1,interieur,sans,False,bon,4123280.0
andranomahery ankorondrano,600.0,8,interieur,voiture_avec_parking,False,moyen,8806000.0
ivandry,250.0,8,interieur,sans,False,moyen,10360000.0
ambatobe,500.0,8,interieur,sans,False,moyen,13986000.0
ivandry,250.0,5,interieur,voiture,False,moyen,7770000.0
ambatobe,1000,6,exterieur,sans,,moyen,9324000.0
